ลำดับ,name,address,website,description,tel
1,Google,Bangkok,https://www.google.com/,a seach engine company,02-1001000
2,Line,Bangkok,https://linecorp.com/th/,a technology company,02-1001001
3,Apple,Bangkok,https://www.apple.com/th/,a technology company,02-1001002
4,PTT,Bangkok,https://www.pttplc.com/,an energy company,02-1001003
5,Agoda,Bangkok,https://www.agoda.com/th-th/,a technology company,02-1001004
6,Shopee,Bangkok,https://shopee.co.th/,a technology company,02-1001005
7,Thai Berverage,Bangkok,https://www.thaibev.com/,a beverage company,02-1001006
8,Facebook,Bangkok,https://www.facebook.com/,a technology company,02-1001007
9,Central Group,Bangkok,https://www.centralgroup.com/,a retail company,02-1001008
10,Sansiri,Bangkok,https://www.sansiri.com/thai/,a real-estate company,02-1001009
